id,name,description,underlying_security,ticker_symbol,last_price,dividend_rate_percent,expense_ratio_percent,one_day_change_percent,year_to_date_change_percent,created_at,updated_at,risk_level,fund_url,inception,last_refresh,long_description,cusip,start_of_year_price,start_of_year_price_year,learn_post_id,inception_price,tags,investment_type,color_code
50,General Electric,The storied digital industrial conglomerate conducts business in approximately 180 countries.,General Electric Company,GE,12.95,4.57,0.0,-1.3,-25.79,2018-02-22 21:27:34.651112,2018-07-23 14:30:41.280910,1,https://www.ge.com/investor-relations/overview,01/13/1978,2018-07-23 14:15:39.000000,"Co-founded in 1892 by inventor Thomas Edison, General Electric's business ranges from aircraft engines, power generation, and oil and gas equipment to medical imaging, financing, and industrial products. This is a direct investment in General Electric stock.",369604103,17.45,2018,,,['General Electric'],STOCK,1e60ae
83,Match the Market,This low-cost foundation fund tracks the S&P 500—a grouping of America's largest companies.,iShares Core S&P 500 ETF,IVV,281.46,1.8,0.04,-0.06,5.16,2018-04-25 22:06:57.419931,2018-07-23 14:30:41.288188,1,https://www.ishares.com/us/products/239726/IVV,05/15/2000,2018-07-23 14:15:39.000000,"This bundle of America's powerhouse companies is a low-cost way to get broad diversification and build the foundation of your portfolio. Specifically, this fund tracks the S&P 500—a popular index of America's 500 largest public companies—that is often used as an indicator for the health of the entire economy. ",464287200,267.64,2018,,,['Match the Market'],ETF,
53,Netflix,This massive production studio streams original and licensed video content in over 190 countries.,"Netflix, Inc.",NFLX,359.09,0.0,0.0,-0.54,87.07,2018-02-22 21:30:31.535239,2018-07-23 14:30:41.295075,1,https://ir.netflix.com/,05/23/2002,2018-07-23 14:15:40.000000,"What began as a mail-order DVD company is now a streaming and production powerhouse. These days, Netflix distributes original and licensed content to over a hundred million subscribers worldwide. This is a direct investment in Netflix stock.",64110L106,191.96,2018,,1.21,['Netflix'],STOCK,e50914
91,JPMorgan,"One of the oldest financial institutions in the U.S., this firm has over $2.5 trillion in assets.",JPMorgan Chase & Co,JPM,112.6,2.01,0.0,1.19,6.38,2018-05-08 19:06:33.417920,2018-07-23 14:30:41.301773,1,https://www.jpmorganchase.com/corporate/investor-relations/investor-relations.htm,12/30/1983,2018-07-23 14:15:39.000000,"200 years of company history and a presence in over 100 markets—yeah, you've probably heard of these guys. JPMorgan Chase is a leading global financial services institution, and its stock is part of the Dow Jones Industrial Average. This is a direct investment in JPMorgan Chase stock.",46625H100,105.85,2018,,4.44,[''],STOCK,6d6e71
68,Union Pacific,This stalwart powers global supply chains with a rail network that links 23 US states.,Union Pacific Corporation,UNP,143.83,1.93,0.0,1.71,7.83,2018-03-19 17:55:44.655828,2018-07-23 14:30:41.491256,1,https://www.up.com/investor/index.htm,01/13/1978,2018-07-23 14:15:35.000000,"Union Pacific traces its origins back to the 1860s and the construction of the world's first transcontinental railway. Today, the rails link global industrial, chemical, automotive, and agricultural supply chains. This is a direct investment in Union Pacific stock.",907818108,133.39,2018,,,['Union Pacific'],STOCK,004990
109,Amgen,This multinational company is the world's largest independent biotechnology company.,Amgen Inc.,AMGN,189.95,2.59,0.0,-0.28,10.91,2018-05-30 17:28:52.091053,2018-07-23 14:30:41.497548,1,http://investors.amgen.com/phoenix.zhtml?c=61656&p=irol-IRHome,06/17/1983,2018-07-23 14:15:36.000000,Amgen is focused on unlocking the potential of biology—by using tools like advanced human genetics—to create therapies for patients who suffer from serious illnesses. The company's treatments have reached millions of people around the world. This is a direct investment in Amgen stock.,031162100,171.27,2018,,,['Amgen'],STOCK,007dc3
87,DowDuPont,"With net sales of $80 billion, this holding company is a global leader in the chemical industry.","DowDuPont, Inc",DWDP,65.78,2.31,0.0,-0.06,-7.16,2018-05-08 19:04:44.652817,2018-07-23 14:30:41.504016,1,http://www.dow-dupont.com/investors/default.aspx,09/01/2017,2018-07-23 14:15:37.000000,"In 2017, science-driven companies Dow and DuPont merged to become a major power player in the global chemical market. Today, DowDuPont is leading innovation in agriculture, materials science, and specialty products. This is a direct investment in DowDuPont stock.  ",26078J100,70.85,2018,,67.18,[''],STOCK,e80033
97,Raytheon,The world's largest missile producer is also one of the world's largest defense contractors.,Raytheon Company,RTN,200.66,1.65,0.0,-0.39,7.7,2018-05-14 20:00:52.537929,2018-07-23 14:30:41.510436,1,http://investor.raytheon.com/phoenix.zhtml?c=84193&p=irol-irhome,12/26/1997,2018-07-23 14:15:38.000000,"Originally an electronics business, Raytheon is credited with pioneering both the microwave and early guided missile systems. Today, the defense company specializes in missile production and defense, radar, satellites, cybersecurity, and more. This is a direct investment in Raytheon stock.",755111507,186.31,2018,,32.44,['Raytheon'],STOCK,ce1127
54,Walmart,The colossal multinational retail corporation is the world's largest company by revenue.,"Wal-Mart Stores, Inc.",WMT,87.81,2.34,0.0,-0.28,-11.08,2018-02-22 21:31:33.151150,2018-07-23 14:30:41.308163,1,http://stock.walmart.com/investors/default.aspx,10/1/1970,2018-07-23 14:15:27.000000,"Walmart started as a family business before becoming an American brick-and-mortar staple. The massive retailer now has 59 brands, over 11,000 stores in 28 countries, and e-commerce websites in 11 countries. This is a direct investment in Walmart stock.",931142103,98.75,2018,,,['Walmart'],STOCK,007dc6
38,Up & Coming,Ready to explore untapped markets? These emerging economies have room to grow.,Vanguard FTSE Emerging Markets ETF,VWO,42.78,2.56,0.14,-0.32,-6.82,2017-05-26 18:38:31.460702,2018-07-23 14:30:41.314675,2,https://personal.vanguard.com/us/funds/snapshot?FundIntExt=INT&FundId=0964,03/04/2005,2018-07-23 14:15:39.000000,"What do China, Taiwan, India, and Brazil have in common? Rapid economic development. This international investment includes emerging economies that span from Latin America, to Africa, Europe, Asia, and the Middle East.",922042858,45.91,2018,,,"['China', 'Tencent', 'India', 'Naspers', 'CCB', 'Taiwan', 'China', 'India']",ETF,
