user_id,federal_tax_bracket_percent,employment_status,liquidity_needs,total_net_worth_range,age,uuid,risk_level
36,28.0,EMPLOYED,0.0,1.0,40,3cfff967-ba7c-4f35-9165-e6beca370290,3
492,28.0,EMPLOYED,0.5,1.0,36,3ef66efe-1604-4443-a315-508aee0b82fb,2
735,15.0,STUDENT,1.0,0.0,32,15d40f88-ad0d-4614-a358-c157de9cfeab,2
1355,28.0,EMPLOYED,0.0,0.5,33,30d621b1-04e7-495e-bb4f-4471949ce915,3
1673,25.0,EMPLOYED,0.5,0.5,65,40fd8ce4-5c45-4faa-a96e-04869ba5b7c9,2
1684,28.0,EMPLOYED,1.0,0.0,38,48491f10-8c48-4774-9d75-636591b05bcd,1
2260,25.0,EMPLOYED,0.5,0.25,26,1ee55da1-f34c-4828-9ed4-4162837a2e11,2
2287,25.0,EMPLOYED,1.0,0.0,29,454f4ebd-cc7e-4c98-835e-e60b8fac86b2,1
3155,28.0,EMPLOYED,0.0,0.25,32,2799e080-56dd-4ce1-b428-5a0b87baae44,2
3500,15.0,STUDENT,0.0,0.0,22,389a7975-c32d-4ccd-861e-ece051b9fcda,1
4315,25.0,EMPLOYED,0.0,0.25,31,34f8c0f4-3e48-4286-9e61-c2510be03004,2
4471,28.0,EMPLOYED,0.5,0.0,33,3bd98d6d-626e-49ca-88aa-754b633dd67b,2
4965,25.0,EMPLOYED,1.0,0.0,52,2ce04779-3474-43fa-9e64-e784e363aee5,1
5247,25.0,EMPLOYED,0.0,0.25,39,3f1d066f-8e03-44d9-b870-2dd0e50d0066,2
5662,28.0,EMPLOYED,0.5,0.5,31,38742a48-e0ff-42ca-bbc6-2df374cfc189,2
5693,28.0,EMPLOYED,0.0,0.0,34,1296829c-37eb-42c9-a8ae-b40a4a14ffe6,2
5715,28.0,EMPLOYED,0.0,0.25,25,1c6e51f4-e4b2-4dab-bdde-6ce7f214382e,3
5833,28.0,EMPLOYED,0.0,0.0,29,4fb9d95b-233d-4577-a8b1-287347f55622,2
5870,25.0,EMPLOYED,1.0,0.0,27,4b4a75d4-98d4-4bb7-ae17-84e92c3f4873,2
7176,28.0,EMPLOYED,0.0,0.5,42,1fb7bd91-53b7-4a38-bb52-d72ad0d14024,2
7434,28.0,EMPLOYED,0.5,0.0,25,3d09cad3-2316-432b-ab6e-a32d0bf7b8c9,2
7940,25.0,EMPLOYED,0.0,0.25,34,4c29debd-48db-411e-90d0-c0b8fcf6f3ed,2
8246,28.0,EMPLOYED,0.5,0.25,30,4cbb347f-e7a1-4e52-83b0-4c8b04ec3f7e,2
8471,25.0,EMPLOYED,0.5,0.25,42,44be98b4-6f40-4173-a0d9-6cdc43229ba6,2
8740,15.0,STUDENT,0.5,0.0,23,329a5b4a-2109-48b4-b375-919ff720cb22,2
9248,25.0,EMPLOYED,1.0,0.25,34,3b5dcb4e-302f-4a9f-9107-1a035a39ba6d,2
10648,15.0,EMPLOYED,0.5,0.0,26,1e0b45ef-a876-4b68-9e18-1838d5e2ce95,2
10759,15.0,EMPLOYED,0.5,0.0,35,4d4fe2a3-d4d8-43f5-9721-7735e7922296,2
10833,25.0,EMPLOYED,0.0,0.0,25,12925925-e22f-40b5-85a1-9d9e1e46d130,2
10973,28.0,EMPLOYED,0.5,0.0,39,35a0e2c2-510b-4e2f-a7d5-0743f2b30dca,2
12195,15.0,EMPLOYED,1.0,0.0,33,2186d49f-5f1e-4781-829d-2206ca47227a,1
12627,25.0,EMPLOYED,0.5,0.5,30,2bc025b7-383f-4741-be0e-818ee3eae286,2
12673,25.0,EMPLOYED,0.5,0.25,44,2f79fd63-e02c-46cf-bfad-1adffe19f78c,2
12903,28.0,EMPLOYED,0.0,1.0,31,16cec7b6-13fa-49b8-b6d8-ed4cb92397b8,3
13616,28.0,EMPLOYED,1.0,0.25,29,3fb279ec-816e-4a67-b36f-69cb4e9f0f23,2
14070,28.0,EMPLOYED,1.0,0.25,21,2a47f339-0b64-4349-9da8-928e6cfc25fe,2
14812,15.0,STUDENT,0.5,0.0,29,21053729-1d5c-48ca-9084-3e1610eab77e,1
15543,28.0,EMPLOYED,0.0,1.0,37,1f12a986-2deb-4cb8-8826-e7db55a07c4e,3
15575,28.0,EMPLOYED,0.0,1.0,27,2d683af9-9580-4b04-a155-a3eaf1572398,3
16259,25.0,EMPLOYED,0.0,0.0,40,4b3fbd32-1868-49fe-930d-56d183b47545,2
16329,15.0,UNEMPLOYED,1.0,0.5,35,20e1c7e6-233a-4de3-aca4-a69083f066c4,1
16502,25.0,EMPLOYED,0.5,0.0,36,4e6ac2a5-c401-4a4b-b76b-ec39aa0c3d0c,2
16635,28.0,EMPLOYED,1.0,1.0,37,2e5c7aef-e255-4646-a5bb-72258c60b8c3,3
18658,28.0,EMPLOYED,0.5,0.25,33,1d7b920d-3408-45b5-b0e0-3bdd42be7e9a,2
18683,25.0,EMPLOYED,1.0,0.25,23,15d154d4-024d-4471-80c8-6689a2317409,2
19000,28.0,EMPLOYED,0.0,0.0,46,1ea70714-5753-4277-b12c-8832b34b12b1,2
19045,15.0,STUDENT,0.5,0.0,21,2f3306c6-192b-4b60-956c-f99d275b658a,1
21255,28.0,STUDENT,0.5,1.0,36,18e369b0-51fa-4e2c-8f31-978f6908f261,2
21408,28.0,EMPLOYED,0.5,0.5,34,2909575a-5d29-4489-8a49-3134da80e5f7,2
23191,25.0,EMPLOYED,1.0,0.0,30,2f926ce1-ea5a-43be-a926-a2cb1facdd1f,2
23435,15.0,EMPLOYED,1.0,0.0,28,2800ffe3-3463-4817-b6c3-60b66ef382ba,1
25053,15.0,UNEMPLOYED,0.0,0.5,42,2bfb543b-9f18-4fcf-9479-6b148b0aca0a,2
25185,15.0,EMPLOYED,1.0,0.0,28,32a8e83f-b4b5-4de2-a2f4-b91aeed6e30a,1
25214,28.0,EMPLOYED,0.5,0.5,32,43f607a8-63b4-4af3-8131-3ee3b714f02e,2
25520,25.0,EMPLOYED,1.0,0.5,42,1a09ac2a-8e51-4a36-9dc1-bba17e3b8278,2
27416,25.0,EMPLOYED,0.5,0.0,29,4b7ef203-63ca-42cf-aba3-12c649985194,2
27800,15.0,EMPLOYED,1.0,0.0,28,439a2a15-ba68-4113-8890-3a85caa96d3a,1
28260,28.0,EMPLOYED,0.5,0.25,39,1956887e-48b1-474d-b83e-6a8fd133e8c9,2
28918,15.0,STUDENT,0.0,0.0,34,15ff0b4a-c1c1-479c-b5b6-7233aa6a6603,1
29284,25.0,EMPLOYED,0.5,0.25,29,30e134f0-bdb1-4bb0-b124-a504ecbb6678,2
29688,25.0,EMPLOYED,0.5,0.75,31,4d370c10-5934-40fb-bf62-9062cf3a5060,2
29808,25.0,EMPLOYED,0.5,0.5,27,374ce16b-ab77-4308-89b7-de4e110aa88e,2
30331,28.0,EMPLOYED,0.0,0.5,36,20245fe0-7027-45b0-b1a7-7fe829540027,2
31404,15.0,EMPLOYED,0.5,0.0,23,2e1034db-54d6-4167-afba-da9125f825da,1
